track,artist,date
It girl,Jason Derulo,2022-01-02T18:51
I wish,Joel Corry feat. Mabel,2022-01-02T18:47
The one I love,R.E.M.,2022-01-02T18:43
Polaroid,Keith Urban,2022-01-02T18:41
Perdono,Tiziano Ferro,2022-01-02T18:36
Real face,Sofia Portanet,2022-01-02T18:33
Where are you now,Lost Frequencies X Calum Scott,2022-01-02T18:31
Only wanna be with you,Post Malone,2022-01-02T18:26
Why don't you get a job,The Offspring,2022-01-02T18:23
Manila,Ray Dalton  X Alvaro Soler,2022-01-02T18:21
Fast car,Jonas Blue feat. Dakota,2022-01-02T18:17
Mood,24kGoldn | Iann Dior,2022-01-02T18:12
With you,Chris Brown,2022-01-02T18:08
Overpass graffiti,Ed Sheeran,2022-01-02T18:04
Stay,The Kid Laroi & Justin Bieber,2022-01-02T17:57
Stay,The Kid Laroi & Justin Bieber,2022-01-02T17:57
Plus de couleurs,Carrousel,2022-01-02T17:54
Rather be you,Tom Gregory,2022-01-02T17:51
Blaze of glory,Jon Bon Jovi,2022-01-02T17:47
California,Lorde,2022-01-02T17:42
Island,Alice Merton,2022-01-02T17:38
Stressed out,Twenty One Pilots,2022-01-02T17:35
Salt,Ava Max,2022-01-02T17:32
Willkommen zurück,Clueso x Andreas Bourani,2022-01-02T17:28
Don't cha,The Pussycat Dolls feat. Busta Rhymes,2022-01-02T17:24
Coldest fire,AHI,2022-01-02T17:20
Don't you want me,Human League,2022-01-02T17:16
Moth to a flame,Swedish House Mafia & The Weeknd,2022-01-02T17:12
Reasons I drink,Alanis Morissette,2022-01-02T17:08
What a man gotta do,Jonas Brothers,2022-01-02T17:05
Imagine,Zaz,2022-01-02T16:59
Imagine,Zaz,2022-01-02T16:59
Would I lie to you,Nico Santos,2022-01-02T16:52
All I know so far,P!nk,2022-01-02T16:47
Irony,Christopher,2022-01-02T16:44
Why don't ya,Alex Clare,2022-01-02T16:39
Here comes the hotstepper,Ini Kamoze,2022-01-02T16:35
Head Shoulders Knees & Toes,Ofenbach & Quarterhead feat. Norma Jean Martine,2022-01-02T16:33
Power over me,Dermot Kennedy,2022-01-02T16:28
Sisters are doin' it for themselves,Eurythmics & Aretha Franklin,2022-01-02T16:24
Where do we go,Dominic Neill,2022-01-02T16:18
Ain't got no (I got life),Patrice,2022-01-02T16:15
Love makes you shine,Rea Garvey X YouNotUs X Kush Kush,2022-01-02T16:11
Umbrella,Rihanna,2022-01-02T16:08
Friendships (Lost my love),Pascal Letoublon feat. Leony,2022-01-02T16:05
Lost on you,LP,2022-01-02T15:56
Again,Lenny Kravitz,2022-01-02T15:53
True love,Joris,2022-01-02T15:50
Dopamine,Purple Disco Machine Feat. Eyelar,2022-01-02T15:45
Grenade,Bruno Mars,2022-01-02T15:38
Shine,Collective Soul,2022-01-02T15:34
Drive,"Clean Bandit x Topic feat. Wes Nelson, Clean Bandit",2022-01-02T15:31
